SoilType,Temperature (Celsius),Humidity (%),Crop
1,16.67,34.82,apple
1,15.61,37.73,apple
1,20.91,41.89,apple
1,16.89,44.88,apple
1,15.66,87.58,apple
1,19.5,70.61,apple
1,20.86,73.59,apple
1,15.11,66.68,apple
1,16.66,59.62,apple
1,28.28,33.37,apple
1,26.93,88.44,apple
1,26.02,86.55,apple
1,29.25,82.35,apple
1,22.75088787,90.69489172,apple
1,23.8494014,94.34814995,apple
1,22.60800988,94.58900601,apple
1,21.18667419,91.13435689,apple
1,23.41044706,91.69913296,apple
1,22.86006627,93.12859895,apple
1,22.48403042,93.40819246,apple
1,22.02775403,92.96129462,apple
1,21.91191314,91.68748063,apple
1,23.71059131,93.27392415,apple
1,21.37784654,92.72043743,apple
1,22.84852833,94.32130209,apple
1,23.1094265,92.79630809,apple
1,23.25230817,94.54128292,apple
1,23.67287749,90.4935574,apple
1,23.76881552,90.59810302,apple
1,23.34386401,91.47684705,apple
1,22.63946441,90.18451645,apple
1,22.45696744,94.76285385,apple
1,22.96388477,93.58065995,apple
1,21.07273439,93.56585985,apple
1,22.44075021,92.70785115,apple
1,22.71271308,90.45261746,apple
1,21.70416965,93.44006288,apple
1,22.43324518,92.48667725,apple
1,21.25941052,92.84416234,apple
1,22.9215706,94.89613443,apple
1,22.81212536,91.51861705,apple
1,21.12152071,90.6878768,apple
1,21.11478672,90.31528693,apple
1,23.59997268,90.97597665,apple
1,23.12652652,94.71203306,apple
1,22.98458907,93.3204487,apple
1,22.12659387,90.97818277,apple
1,22.53779727,91.48135786,apple
1,22.49095104,91.70292746,apple
1,22.35548159,94.47811755,apple
1,22.20700989,93.50574163,apple
1,22.44516988,94.73763514,apple
1,22.76643029,92.12438519,apple
1,22.19109412,90.02575116,apple
1,23.6119202,91.70293849,apple
1,23.86087054,94.92048112,apple
1,21.42177231,92.62665309,apple
1,22.36629253,90.78572467,apple
1,23.99686172,91.61001707,apple
1,21.80129837,92.73446667,apple
1,23.80436344,92.80441624,apple
1,23.71475278,91.53331177,apple
1,23.34467359,90.37981478,apple
1,22.31253665,90.03577124,apple
1,23.50201428,92.21083961,apple
1,23.46260321,91.45665004,apple
1,23.06204373,92.39544055,apple
1,22.47420512,91.22759742,apple
1,22.69780133,92.82223419,apple
1,23.66682067,93.90191078,apple
1,22.50050273,92.45878335,apple
1,23.83053666,90.84422164,apple
1,23.64142354,93.74461474,apple
1,21.41363812,92.99124545,apple
1,22.85267372,94.5764581,apple
1,22.98208095,93.84505029,apple
1,21.19909519,90.80819418,apple
1,23.87192332,90.49939035,apple
1,21.0365275,94.33919546,apple
1,22.61711614,93.51978375,apple
1,21.45278675,90.74531921,apple
1,22.81227579,92.12992101,apple
1,21.98141856,91.12719303,apple
1,22.52709326,92.54780429,apple
1,22.35628673,91.92360477,apple
1,21.19852186,92.15595143,apple
1,23.8812458,93.45067555,apple
1,22.78234161,94.36803516,apple
1,22.19055385,92.43764169,apple
1,22.91430043,90.70475565,apple
1,23.08950736,90.22507299,apple
1,21.72484506,92.83975602,apple
1,22.44307715,91.59234006,apple
1,21.1316077,91.95769858,apple
1,22.71750705,92.25479855,apple
1,23.75033085,92.88160462,apple
1,23.76121837,93.661643,apple
1,22.13450646,94.67695747,apple
1,21.17089176,90.23730166,apple
1,22.36238282,91.15761594,apple
1,22.77856513,92.70124029,apple
1,21.22503442,90.09877774,apple
1,23.15791104,90.34396882,apple
1,22.42776057,93.91722423,apple
1,23.64082979,90.95257927,apple
1,22.29423493,90.69033986,apple
1,23.35225078,90.90054697,apple
1,22.03911546,94.58075845,apple
1,23.80593812,92.48879468,apple
1,22.31944084,90.85174383,apple
1,22.14464104,93.82567435,apple
1,23.65167552,94.50528753,apple
1,22.16939473,90.27185592,apple
1,23.58,50.82,grapes
1,31.29,31.63,grapes
1,25.02,81.69,grapes
1,38.59,52.56,grapes
1,34.6,59.92,grapes
1,27.84,62.26,grapes
1,39.59,41.33,grapes
1,15.83,67.71,grapes
1,21.84,57.03,grapes
1,35.69,34.21,grapes
1,27.2,78.68,grapes
1,24.04,41.02,grapes
1,18.5,82.58,grapes
1,30.61,79.53,grapes
1,29.99677232,81.54156612,grapes
1,30.7280404,82.42614055,grapes
1,32.44577836,83.88504863,grapes
1,37.46566825,80.65968681,grapes
1,22.03296178,83.74372787,grapes
1,39.64851881,82.21079946,grapes
1,16.77557314,82.75241875,grapes
1,12.14190714,83.56812483,grapes
1,12.7567962,81.62497448,grapes
1,39.04071989,80.18393287,grapes
1,39.70772192,82.68593454,grapes
1,9.467960445,82.29335466,grapes
1,29.58748357,80.91934392,grapes
1,17.82803682,80.96093443,grapes
1,8.825674745,82.89753705,grapes
1,27.83487131,83.51444973,grapes
1,11.02105378,80.55557235,grapes
1,17.5862944,80.84806564,grapes
1,19.89363946,82.73366439,grapes
1,29.93707596,81.77713468,grapes
1,36.73126647,80.58931938,grapes
1,20.42094753,81.54185044,grapes
1,25.51939719,83.98351748,grapes
1,30.50734778,82.71775569,grapes
1,18.4269936,80.55625868,grapes
1,12.087022,83.59398734,grapes
1,23.60115364,82.48336987,grapes
1,12.80000387,81.20876367,grapes
1,38.06099482,82.24729637,grapes
1,39.06555518,82.03812973,grapes
1,33.78372897,81.16314317,grapes
1,16.76201707,82.00335557,grapes
1,35.89307536,82.66850729,grapes
1,21.01245395,81.17931863,grapes
1,10.89875873,80.01639435,grapes
1,16.36251869,83.00471609,grapes
1,20.28370163,81.32235739,grapes
1,25.11108456,83.25447587,grapes
1,33.4641162,83.86742974,grapes
1,11.7976469,80.86325389,grapes
1,11.36300891,80.03100049,grapes
1,25.23542319,80.68700527,grapes
1,15.99050693,81.23966573,grapes
1,22.4359017,80.18612085,grapes
1,34.76086052,81.03544763,grapes
1,31.11047251,83.34010951,grapes
1,28.57828803,80.95628959,grapes
1,41.18664903,81.01783402,grapes
1,27.02766138,83.17093908,grapes
1,21.19339319,82.33098331,grapes
1,10.38004759,83.44518113,grapes
1,31.3115978,82.56407013,grapes
1,20.46657776,80.97598029,grapes
1,29.36947679,81.53996362,grapes
1,10.72302459,80.02130636,grapes
1,14.97846952,80.49979873,grapes
1,15.3246651,81.67215994,grapes
1,18.73932187,81.12109244,grapes
1,19.3642553,83.36094029,grapes
1,41.20733624,81.61051026,grapes
1,33.34214482,82.51034633,grapes
1,23.81995682,80.12211649,grapes
1,40.66012294,81.24995984,grapes
1,11.82768186,80.2827185,grapes
1,13.28504331,83.54193816,grapes
1,35.83089092,83.32560104,grapes
1,26.18159716,81.03886263,grapes
1,24.57558351,80.70695797,grapes
1,29.67229086,83.71498986,grapes
1,39.37102553,81.25353895,grapes
1,17.66558428,82.92903419,grapes
1,24.06679352,82.66396666,grapes
1,15.31413469,80.09711412,grapes
1,21.77466746,80.54942557,grapes
1,26.91624843,80.76838926,grapes
1,41.65602996,82.22118237,grapes
1,17.98667801,81.17712085,grapes
1,29.12033769,82.79092939,grapes
1,34.38922481,83.18392806,grapes
1,41.36106301,82.79782954,grapes
1,35.12158265,82.26890793,grapes
1,19.6491772,80.15215777,grapes
1,16.27852801,82.94270065,grapes
1,21.11903604,80.63399198,grapes
1,19.2077707,82.9042841,grapes
1,25.96308415,82.57813624,grapes
1,25.67385024,81.6212135,grapes
1,41.94865736,81.15595212,grapes
1,11.18994268,80.8084305,grapes
1,17.5438296,82.94703302,grapes
1,13.05809741,80.28297993,grapes
1,9.724457611,83.74765639,grapes
1,27.92004934,82.93262435,grapes
1,9.535585543,80.73112694,grapes
1,13.42988625,80.06633966,grapes
1,9.851242629,80.22631717,grapes
1,24.97256132,82.72828653,grapes
1,27.23708304,82.94573346,grapes
1,18.70679077,83.4795292,grapes
1,9.949929082,82.55138983,grapes
1,21.29,79.15,jute
1,21.75,34.52,jute
1,25.55,89.38,jute
1,22.13,54.86,jute
1,27.92,72.26,jute
1,27.59,31.99,jute
1,23.93,62.96,jute
1,24.6,34.66,jute
1,28.6,52.25,jute
1,26.63,46.17,jute
1,24.72,30.22,jute
1,25.52468965,72.24850829,jute
1,26.59104992,82.94164078,jute
1,25.29781791,86.8870535,jute
1,25.72100868,88.16513579,jute
1,23.58419277,72.00460848,jute
1,25.31042337,72.01364411,jute
1,23.41798979,85.08640476,jute
1,24.35564134,88.80391021,jute
1,26.284017,75.14640198,jute
1,25.13842773,83.12053888,jute
1,24.88692811,71.91711523,jute
1,25.75734909,88.36668522,jute
1,23.12844351,74.68322732,jute
1,24.9949957,88.95692783,jute
